,etiquetaoriginal,tweet,tweetF,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,TweetNeutro,TweetPositivo,TweetNegativo,
0,NEU,Antojo de empanada colombiana,"['Antojo', 'de', 'empanada', 'colombiana']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,N,Me volvieron a dejar sola,"['Me', 'volvieron', 'a', 'dejar', 'sola']",0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,1,1
2,P,@ManuTonic Buenotes diotas. Un gran abrazo,"['', 'ManuTonic', 'Buenotes', 'diotas', 'Un', 'gran', 'abrazo']",0,0,0,0,0.166666667,0,0.166666667,0,0,0.166666667,0,1,0,1
3,NEU,cual es su mejor recuerdo juntos? #BntResponde,"['cual', 'es', 'su', 'mejor', 'recuerdo', 'juntos', 'BntResponde']",0,0,0,0,0,0,0.142857143,0,0,0,0,1,0,0
4,NEU,"@leonora_monge @susi_sot por mi sí, con 20 rojos","['', 'leonora', 'monge', 'susi', 'sot', 'por', 'mi', 'sí', 'con', '20', 'rojos']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,P,@racesgar Que linda la gente educada un gran abrazo,"['', 'racesgar', 'Que', 'linda', 'la', 'gente', 'educada', 'un', 'gran', 'abrazo']",0,0,0,0,0.111111111,0,0.111111111,0,0,0.111111111,0,1,0,1
6,N,que lindo estar metida en la casa todo el día,"['que', 'lindo', 'estar', 'metida', 'en', 'la', 'casa', 'todo', 'el', 'día']",0,0,0,0,0,0,0.2,0,0,0,0,1,0,0
7,P,@noefernandez02 hey sii sí queres me pasas tus datos por DM,"['', 'noefernandez02', 'hey', 'sii', 'sí', 'queres', 'me', 'pasas', 'tus', 'datos', 'por', 'DM']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,P,@IssmaelSandoval Que bonita la gente educada un gran abrazo para vos ??,"['', 'IssmaelSandoval', 'Que', 'bonita', 'la', 'gente', 'educada', 'un', 'gran', 'abrazo', 'para', 'vos', '']",0,0,0,0,0.090909091,0,0.090909091,0,0,0.090909091,0,1,0,1
9,P,#FelizMiercoles porque hoy pase lo que pase va ha ser un buen día,"['', 'FelizMiercoles', 'porque', 'hoy', 'pase', 'lo', 'que', 'pase', 'va', 'ha', 'ser', 'un', 'buen', 'día']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,N,@alakaskala hoy no estoy entre tu lista de buenos días!!! Eerta compradora de regalos,"['', 'alakaskala', 'hoy', 'no', 'estoy', 'entre', 'tu', 'lista', 'de', 'buenos', 'días', 'Eerta', 'compradora', 'de', 'regalos']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,NEU,@mendezcr lo q puede hacer es darse golpecitos con las uñas o con los dedos,"['', 'mendezcr', 'lo', 'q', 'puede', 'hacer', 'es', 'darse', 'golpecitos', 'con', 'las', 'uñas', 'o', 'con', 'los', 'dedos']",0.066666667,0,0,0,0,0,0.066666667,0,0,0,0,1,0,0
